Name,Abbreviation,DateAdded,DateTimeAdded,LastUpdated
Alabama,AL,2015-03-01,2015-03-01,2015-03-01
Alaska,AK,2015-03-01,2015-03-01,2015-03-01
Arizona,AZ,2015-03-01,2015-03-01,2015-03-01
Arkansas,AR,2015-03-01,2015-03-01,2015-03-01
California,CA,2015-03-01,2015-03-01,2015-03-01
Colorado,CO,2015-03-01,2015-03-01,2015-03-01
Connecticut,CT,2015-03-01,2015-03-01,2015-03-01
Delaware,DE,2015-03-01,2015-03-01,2015-03-01
Florida,FL,2015-03-01,2015-03-01,2015-03-01
Georgia,GA,2015-03-01,2015-03-01,2015-03-01
Hawaii,HI,2015-03-01,2015-03-01,2015-03-01
Idaho,ID,2015-03-01,2015-03-01,2015-03-01
Illinois,IL,2015-03-01,2015-03-01,2015-03-01
Indiana,IN,2015-03-01,2015-03-01,2015-03-01
Iowa,IA,2015-03-01,2015-03-01,2015-03-01
Kansas,KS,2015-03-01,2015-03-01,2015-03-01
Kentucky,KY,2015-03-01,2015-03-01,2015-03-01
Louisiana,LA,2015-03-01,2015-03-01,2015-03-01
Maine,ME,2015-03-01,2015-03-01,2015-03-01
Maryland,MD,2015-03-01,2015-03-01,2015-03-01
Massachusetts,MA,2015-03-01,2015-03-01,2015-03-01
Michigan,MI,2015-03-01,2015-03-01,2015-03-01
Minnesota,MN,2015-03-01,2015-03-01,2015-03-01
Mississippi,MS,2015-03-01,2015-03-01,2015-03-01
Missouri,MO,2015-03-01,2015-03-01,2015-03-01
Montana,MT,2015-03-01,2015-03-01,2015-03-01
Nebraska,NE,2015-03-01,2015-03-01,2015-03-01
Nevada,NV,2015-03-01,2015-03-01,2015-03-01
New Hampshire,NH,2015-03-01,2015-03-01,2015-03-01
New Jersey,NJ,2015-03-01,2015-03-01,2015-03-01
New Mexico,NM,2015-03-01,2015-03-01,2015-03-01
New York,NY,2015-03-01,2015-03-01,2015-03-01
North Carolina,NC,2015-03-01,2015-03-01,2015-03-01
North Dakota,ND,2015-03-01,2015-03-01,2015-03-01
Ohio,OH,2015-03-01,2015-03-01,2015-03-01
Oklahoma,OK,2015-03-01,2015-03-01,2015-03-01
Oregon,OR,2015-03-01,2015-03-01,2015-03-01
Pennsylvania,PA,2015-03-01,2015-03-01,2015-03-01
Rhode Island,RI,2015-03-01,2015-03-01,2015-03-01
South Carolina,SC,2015-03-01,2015-03-01,2015-03-01
South Dakota,SD,2015-03-01,2015-03-01,2015-03-01
Tennessee,TN,2015-03-01,2015-03-01,2015-03-01
Texas,TX,2015-03-01,2015-03-01,2015-03-01
Utah,UT,2015-03-01,2015-03-01,2015-03-01
Vermont,VT,2015-03-01,2015-03-01,2015-03-01
Virginia,VA,2015-03-01,2015-03-01,2015-03-01
Washington,WA,2015-03-01,2015-03-01,2015-03-01
West Virginia,WV,2015-03-01,2015-03-01,2015-03-01
Wisconsin,WI,2015-03-01,2015-03-01,2015-03-01
Wyoming,WY,2015-03-01,2015-03-01,2015-03-01
Washington DC,DC,2015-03-01,2015-03-01,2015-03-01